datafile,formula,M.0,M.1,M.2
128_0d_zic300up_13CGlc,C10H17N2O14P3,0,354,277
128_0d_zic300up_D3Ser,C10H17N2O14P3,0,382,0
128_4d_zic300up_13CGlc,C10H17N2O14P3,118551,53160,0
128_4d_zic300up_D3Ser,C10H17N2O14P3,1188614,4315611,0
129_0d_zic300up_13CGlc,C10H17N2O14P3,0,273,0
129_0d_zic300up_D3Ser,C10H17N2O14P3,0,178,0
129_4d_zic300up_13CGlc,C10H17N2O14P3,40530,0,0
129_4d_zic300up_D3Ser,C10H17N2O14P3,244586,1154011,2168
130_0d_zic300up_13CGlc,C10H17N2O14P3,0,993,0
130_0d_zic300up_D3Ser,C10H17N2O14P3,0,168,0
130_4d_zic300up_13CGlc,C10H17N2O14P3,43586,4746,0
130_4d_zic300up_D3Ser,C10H17N2O14P3,409967,2105642,0
